date,count.0
2021-05-21,1200980.0
2021-05-22,1201135.0
2021-05-23,1201244.0
2021-05-24,1201350.0
2021-05-25,1201531.0
2021-05-26,1201703.0
2021-05-27,1201878.0
2021-05-28,1202042.0
2021-05-29,1202201.0
2021-05-30,1202308.0
2021-05-31,1202431.0
2021-06-01,1202533.0
2021-06-02,1202773.0
2021-06-03,1203006.0
2021-06-04,1203206.0
2021-06-05,1203378.0
2021-06-06,1203496.0
2021-06-07,1203622.0
2021-06-08,1203818.0
2021-06-09,1204037.0
2021-06-10,1204230.0
2021-06-11,1204412.0
2021-06-12,1204572.0
2021-06-13,1204716.0
2021-06-14,1204852.0
2021-06-15,1205112.0
2021-06-16,1205337.0
2021-06-17,1205563.0
2021-06-18,1205786.0
2021-06-19,1205995.0
2021-06-20,1206151.0
2021-06-21,1206347.0
2021-06-22,1206639.0
2021-06-23,1206926.0
2021-06-24,1207238.0
2021-06-25,1207575.0
2021-06-26,1207897.0
2021-06-27,1208170.0
2021-06-28,1208470.0
2021-06-29,1209010.0
2021-06-30,1209523.0
2021-07-01,1210124.0
2021-07-02,1210790.0
2021-07-03,1211383.0
2021-07-04,1211851.0
2021-07-05,1212275.0
2021-07-06,1213113.0
2021-07-07,1214289.0
2021-07-08,1215496.0
2021-07-09,1216659.0
2021-07-10,1217858.0
2021-07-11,1218848.0
2021-07-12,1219858.0
2021-07-13,1221587.0
2021-07-14,1223348.0
2021-07-15,1225177.0
2021-07-16,1227170.0
2021-07-17,1229127.0
2021-07-18,1230596.0
2021-07-19,1232082.0
2021-07-20,1234725.0
2021-07-21,1237289.0
2021-07-22,1240037.0
2021-07-23,1242403.0
2021-07-24,1244758.0
2021-07-25,1246669.0
2021-07-26,1248406.0
2021-07-27,1251769.0
2021-07-28,1255048.0
2021-07-29,1258415.0
2021-07-30,1261500.0
2021-07-31,1264511.0
2021-08-01,1266723.0
2021-08-02,1268695.0
2021-08-03,1272270.0
2021-08-04,1275906.0
2021-08-05,1279566.0
2021-08-06,1282848.0
2021-08-07,1285841.0
2021-08-08,1287995.0
2021-08-09,1289444.0
2021-08-10,1292928.0
2021-08-11,1296167.0
2021-08-12,1299723.0
2021-08-13,1303124.0
2021-08-14,1306258.0
2021-08-15,1308424.0
2021-08-16,1309479.0
2021-08-17,1311181.0
2021-08-18,1314186.0
2021-08-19,1314228.0
2021-08-20,1314228.0
2021-08-21,1323886.0
2021-08-22,1326132.0
2021-08-23,1328474.0
2021-08-24,1331096.0
2021-08-25,1335969.0
2021-08-26,1336754.0
2021-08-27,1336778.0
2021-08-28,1342270.0
2021-08-29,1344661.0
2021-08-30,1346358.0
2021-08-31,1348267.0
2021-09-01,1350826.0
2021-09-02,1350877.0
2021-09-03,1350877.0
2021-09-04,1350877.0
2021-09-05,1359083.0
2021-09-06,1360128.0
2021-09-07,1360180.0
2021-09-08,1363433.0
2021-09-09,1363508.0
2021-09-10,1363508.0
2021-09-11,1365740.0
2021-09-12,1371175.0
2021-09-13,1372540.0
2021-09-14,1374028.0
2021-09-15,1374080.0
2021-09-16,1374080.0
2021-09-17,1374080.0
2021-09-18,1380943.0
2021-09-19,1381953.0
2021-09-20,1382993.0
2021-09-21,1384453.0
2021-09-22,1386118.0
2021-09-23,1386188.0
2021-09-24,1386188.0
2021-09-25,1390319.0
2021-09-26,1391274.0
2021-09-27,1392139.0
2021-09-28,1392215.0
2021-09-29,1394796.0
2021-09-30,1394841.0
2021-10-01,1394841.0
2021-10-02,1398546.0
2021-10-03,1399356.0
2021-10-04,1400021.0
2021-10-05,1401401.0
2021-10-06,1402548.0
2021-10-07,1402580.0
2021-10-08,1402580.0
2021-10-09,1405774.0
2021-10-10,1405804.0
2021-10-11,1407189.0
2021-10-12,1407232.0
2021-10-13,1409912.0
2021-10-14,1409188.0
2021-10-15,1411708.0
2021-10-16,1412748.0
2021-10-17,1413385.0
2021-10-18,1414010.0
2021-10-19,1414658.0
2021-10-20,1414701.0
2021-10-21,1414701.0
2021-10-22,1414701.0
2021-10-23,1420632.0
2021-10-24,1421352.0
2021-10-25,1421535.0
2021-10-26,1423579.0
2021-10-27,1423974.0
2021-10-28,1424065.0
2021-10-29,1427141.0
2021-10-30,1428254.0
2021-10-31,1429150.0
2021-11-01,1430294.0
2021-11-02,1432178.0
2021-11-03,1432855.0
2021-11-04,1432902.0
2021-11-05,1436526.0
2021-11-06,1437094.0
2021-11-07,1438891.0
2021-11-08,1439384.0
2021-11-09,1439384.0
2021-11-10,1440262.0
2021-11-11,1440262.0
2021-11-12,1443701.0
2021-11-13,1445579.0
2021-11-14,1446349.0
2021-11-15,1447007.0
2021-11-16,1447722.0
2021-11-17,1447781.0
2021-11-18,1451508.0
2021-11-19,1452469.0
2021-11-20,1453442.0
2021-11-21,1453015.0
2021-11-22,1453779.0
2021-11-23,1454329.0
2021-11-24,1454329.0
2021-11-25,1454329.0
2021-11-26,1457872.0
2021-11-27,1458445.0
2021-11-28,1459670.0
2021-11-29,1460339.0
2021-11-30,1461203.0
2021-12-01,1463024.0
2021-12-02,1463105.0
2021-12-03,1467855.0
2021-12-04,1468731.0
2021-12-05,1470660.0
2021-12-06,1471227.0
2021-12-07,1472197.0
2021-12-08,1472245.0
2021-12-09,1476809.0
2021-12-10,1478152.0
2021-12-11,1478857.0
2021-12-12,1478889.0
2021-12-13,1481397.0
2021-12-14,1483586.0
2021-12-15,1484588.0
2021-12-16,1489650.0
2021-12-17,1492799.0
2021-12-18,1497016.0
2021-12-19,1501213.0
2021-12-20,1503921.0
2021-12-21,1510128.0
2021-12-22,1514940.0
2021-12-23,1515304.0
2021-12-24,1548928.0
2021-12-25,1555254.0
2021-12-26,1560450.0
2021-12-27,1561008.0
2021-12-28,1561624.0
2021-12-29,1576246.0
2021-12-30,1576246.0
2021-12-31,1675080.0
2022-01-01,1695146.0
2022-01-02,1708180.0
2022-01-03,1717585.0
2022-01-04,1728398.0
2022-01-05,1729464.0
2022-01-06,1863398.0
2022-01-07,1863398.0
2022-01-08,1950144.0
2022-01-09,1988884.0
2022-01-10,2016574.0
2022-01-11,2039221.0
2022-01-12,2047298.0
2022-01-13,2004893.0
2022-01-14,2191301.0
2022-01-15,2191301.0
2022-01-16,2241729.0
2022-01-17,2265188.0
2022-01-18,2276388.0
2022-01-19,2343261.0
2022-01-20,2367401.0
2022-01-21,2384427.0
2022-01-22,2390482.0
2022-01-23,2430653.0
2022-01-24,2453693.0
2022-01-25,2468026.0
2022-01-26,2472960.0
2022-01-27,2515921.0
2022-01-28,2525318.0
2022-01-29,2538458.0
2022-01-30,2547149.0
2022-01-31,2556654.0
2022-02-01,2568517.0
2022-02-02,2572227.0
2022-02-03,2572466.0
2022-02-04,2599553.0
2022-02-05,2606095.0
2022-02-06,2610170.0
2022-02-07,2611127.0
2022-02-08,2611361.0
2022-02-09,2611378.0
2022-02-10,2616192.0
2022-02-11,2630879.0
2022-02-12,2635680.0
2022-02-13,2637901.0
2022-02-14,2639546.0
2022-02-15,2639735.0
2022-02-16,2639747.0
2022-02-17,2639747.0
2022-02-18,2642611.0
2022-02-19,2656546.0
2022-02-20,2657926.0
2022-02-21,2659199.0
2022-02-22,2660577.0
2022-02-23,2660691.0
2022-02-24,2660707.0
2022-02-25,2666463.0
2022-02-26,2666514.0
2022-02-27,2669149.0
2022-02-28,2669902.0
2022-03-01,2671175.0
2022-03-02,2671247.0
2022-03-03,2671297.0
2022-03-04,2675175.0
2022-03-05,2676673.0
